tray,x,y
245,-0.517370,0.516787
246,-0.671033,0.625924
247,-0.481486,0.480773
248,-0.533308,0.531224
249,-0.560078,0.553596
250,-0.451008,0.445654
251,-0.506110,0.506036
252,-0.446334,0.439834
253,-0.396345,0.368240
254,-0.538633,0.535855
255,-0.523980,0.522881
256,-0.478257,0.477267
257,-0.452090,0.446984
258,-0.492483,0.492369
259,-0.482840,0.482230
260,-0.478704,0.477756
261,-0.587294,0.574172
262,-0.475625,0.474374
263,-0.561785,0.554949
264,-0.479066,0.478150
265,-0.362747,0.306446
266,-0.673325,0.627123
267,-0.625164,0.599582
268,-1.000000,-0.123491
269,-0.523063,0.522045
270,-0.523528,0.522470
271,-0.507154,0.507053
272,-1.000000,0.122784
273,-0.476969,0.475856
274,-0.460370,0.456946
275,-0.504420,0.504381
276,-0.447784,0.441653
277,-0.498988,0.498986
278,-0.349344,0.276853
279,-0.524718,0.523552
280,-0.597212,0.581173
281,-0.542926,0.539521
282,-0.546679,0.542679
283,-0.451955,0.446819
284,-0.485849,0.485437
285,-0.514939,0.514505
286,-0.336066,0.243294
287,-0.528392,0.526865
288,-0.489946,0.489739
289,-0.497314,0.497300
290,-1.000000,0.519622
291,-0.786929,0.674241
292,-0.493227,0.493134
293,-0.469578,0.467603
294,-0.604602,0.586226
295,-1.000000,0.489341
296,-0.474455,0.473078
297,-0.675603,0.628304
298,-0.502188,0.502178
299,-0.536221,0.533769
300,-0.525499,0.524260
301,-0.479889,0.479045
302,-0.507488,0.507378
303,-0.525025,0.523831
304,-0.301283,0.108606
305,-0.557411,0.551467
306,-0.397385,0.369940
307,-0.624469,0.599146
308,-0.526957,0.525576
309,-0.545891,0.542019
310,-0.556509,0.550741
311,-0.430936,0.419722
312,-0.521263,0.520395
313,-0.469122,0.467085
314,-0.461992,0.458854
315,-0.307736,0.144120
316,-0.468103,0.465925
317,-0.323166,0.204683
318,-0.314973,0.175321
319,-0.541499,0.538309
320,-0.536898,0.534356
321,-0.428749,0.416741
322,-0.438561,0.429867
323,-0.492734,0.492627
324,-0.589309,0.575615
325,-0.453051,0.448160
326,-0.557262,0.551347
327,-0.659797,0.619889
328,-0.491835,0.491700
329,-0.454525,0.449953
330,-0.541968,0.538708
331,-0.500367,0.500367
332,-0.523708,0.522634
333,-0.468559,0.466444
334,-0.503474,0.503450
335,-0.552696,0.547649
336,-0.510335,0.510126
337,-0.517156,0.516586
338,-0.500826,0.500824
339,-1.000000,0.181875
340,-0.480963,0.480209
341,-0.455378,0.450985
342,-0.515275,0.514822
343,-0.506384,0.506304
344,-0.584990,0.572509
345,-1.000000,-0.078220
346,-0.446430,0.439955
347,-0.405534,0.382897
348,-0.457616,0.453674
349,-0.392491,0.361846
350,-0.815182,0.682526
351,-0.778936,0.671663
352,-0.615860,0.593663
353,-0.447094,0.440789
354,-0.531904,0.529987
355,-0.464700,0.462010
356,-0.443316,0.436007
357,-0.648980,0.613828
358,-0.356059,0.292130
359,-0.328087,0.220302
360,-0.559034,0.552765
361,-0.485254,0.484805
362,-0.514843,0.514415
363,-0.597255,0.581202
364,-0.293870,0.037145
365,-0.475924,0.474704
366,-0.495165,0.495118
367,-1.000000,0.271577
368,-0.495335,0.495291
369,-0.511431,0.511176
370,-0.460451,0.457042
371,-0.518581,0.517915
372,-0.560819,0.554184
373,-0.320157,0.194457
374,-1.000000,0.442154
375,-0.461802,0.458632
376,-0.503409,0.503386
377,-0.451460,0.446210
378,-0.464092,0.461305
379,-0.563510,0.556306
380,-0.495277,0.495232
381,-0.460178,0.456719
382,-0.479839,0.478992
383,-0.504933,0.504885
384,-0.519179,0.518470
385,-0.492106,0.491979
386,-0.469720,0.467763
387,-0.408403,0.387315
388,-0.484835,0.484360
389,-0.307673,0.143818
390,-0.493725,0.493645
391,-0.471997,0.470333
392,-0.358112,0.296613
393,-1.000000,0.496384
394,-0.420270,-0.404862
395,-0.411308,0.391716
